stats,count,percentage
2/2,2003,8.76
1/1,1662,7.27
3/3,1145,5.01
2/1,726,3.18
4/4,690,3.02
2/3,564,2.47
3/2,454,1.99
1/2,398,1.74
5/5,381,1.67
1/3,319,1.4
3/4,298,1.3
6/6,242,1.06
2/4,221,0.97
3/1,221,0.97
4/3,217,0.95
0/0,194,0.85
5/4,151,0.66
4/5,143,0.63
1/4,139,0.61
*/*,129,0.56
4/2,107,0.47
0/1,104,0.45
7/7,96,0.42
Loyalty: 5,92,0.4
0/3,92,0.4
3/5,89,0.39
Loyalty: 4,86,0.38
0/4,80,0.35
2/5,72,0.31
5/3,69,0.3
0/2,62,0.27
6/5,62,0.27
5/6,57,0.25
8/8,54,0.24
Loyalty: 3,53,0.23
4/1,52,0.23
6/4,44,0.19
4/6,44,0.19
Hand Size: +0,39,0.17
1/5,38,0.17
3/6,35,0.15
0/5,34,0.15
5/7,27,0.12
7/6,27,0.12
Hand Size: +1,27,0.12
5/2,24,0.1
9/9,23,0.1
Hand Size: -1,21,0.09
10/10,20,0.09
0/6,19,0.08
5/1,17,0.07
6/3,16,0.07
7/5,16,0.07
2/6,15,0.07
4/7,14,0.06
6/1,13,0.06
Loyalty: 6,12,0.05
7/4,12,0.05
6/7,11,0.05
Loyalty: 7,11,0.05
*/3,11,0.05
1/6,10,0.04
*/4,9,0.04
3/7,9,0.04
8/5,8,0.03
0/7,7,0.03
Hand Size: +2,7,0.03
12/12,7,0.03
Hand Size: -2,7,0.03
2/7,6,0.03
11/11,6,0.03
0/8,6,0.03
7/3,6,0.03
2/*,6,0.03
6/8,5,0.02
6/2,5,0.02
Loyalty: 2,5,0.02
1+*/1+*,4,0.02
8/6,4,0.02
*/1,4,0.02
*/5,4,0.02
8/4,4,0.02
13/13,4,0.02
Hand Size: +3,4,0.02
