name,type,stats,description,colection,card_link
"Freyalise, Llanowar's Fury",Legendary Planeswalker | Freyalise,Loyalty: 3,"+2: Create a 1/1 green Elf Druid creature token with “ : Add  .” −2: Destroy target artifact or enchantment. −6: Draw a card for each green creature you control. Freyalise, Llanowar’s Fury can be your commander.",Commander Collection: Green (CC1),https://scryfall.com/card/cc1/1/freyalise-llanowars-fury
"Omnath, Locus of Mana",Legendary Creature | Elemental,1/1,"You don’t lose unspent green mana as steps and phases end. Omnath, Locus of Mana gets +1/+1 for each unspent green mana you have.",Commander Collection: Green (CC1),https://scryfall.com/card/cc1/2/omnath-locus-of-mana
Bane of Progress,Creature | Elemental,2/2,"When Bane of Progress enters the battlefield, destroy all artifacts and enchantments. Put a +1/+1 counter on Bane of Progress for each permanent destroyed this way.",Commander Collection: Green (CC1),https://scryfall.com/card/cc1/3/bane-of-progress
Seedborn Muse,Creature | Spirit,2/4,Untap all permanents you control during each other player’s untap step.,Commander Collection: Green (CC1),https://scryfall.com/card/cc1/4/seedborn-muse
Sylvan Library,Enchantment,-,"At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library.",Commander Collection: Green (CC1),https://scryfall.com/card/cc1/5/sylvan-library
Worldly Tutor,Instant,-,"Search your library for a creature card, reveal it, then shuffle and put the card on top.",Commander Collection: Green (CC1),https://scryfall.com/card/cc1/6/worldly-tutor
Sol Ring,Artifact,-,: Add  .,Commander Collection: Green (CC1),https://scryfall.com/card/cc1/7/sol-ring
Command Tower,Land,-,: Add one mana of any color in your commander’s color identity.,Commander Collection: Green (CC1),https://scryfall.com/card/cc1/8/command-tower
Angel Warrior,Token Creature | Angel Warrior,4/4,Flying,Zendikar Rising Tokens (TZNR),https://scryfall.com/card/tznr/1/angel-warrior
Cat,Token Creature | Cat,1/1,-,Zendikar Rising Tokens (TZNR),https://scryfall.com/card/tznr/2/cat
Cat Beast,Token Creature | Cat Beast,2/2,-,Zendikar Rising Tokens (TZNR),https://scryfall.com/card/tznr/3/cat-beast
Kor Warrior,Token Creature | Kor Warrior,1/1,-,Zendikar Rising Tokens (TZNR),https://scryfall.com/card/tznr/4/kor-warrior
Drake,Token Creature | Drake,2/2,Flying,Zendikar Rising Tokens (TZNR),https://scryfall.com/card/tznr/5/drake
Illusion,Token Creature | Illusion,*/*,-,Zendikar Rising Tokens (TZNR),https://scryfall.com/card/tznr/6/illusion
Insect,Token Creature | Insect,1/1,-,Zendikar Rising Tokens (TZNR),https://scryfall.com/card/tznr/7/insect
Plant,Token Creature | Plant,0/1,-,Zendikar Rising Tokens (TZNR),https://scryfall.com/card/tznr/8/plant
Hydra,Token Creature | Hydra,*/*,-,Zendikar Rising Tokens (TZNR),https://scryfall.com/card/tznr/9/hydra
Construct,Token Artifact Creature | Construct,1/1,-,Zendikar Rising Tokens (TZNR),https://scryfall.com/card/tznr/10/construct
Goblin Construct,Token Artifact Creature | Goblin Construct,0/1,"This creature can’t block. At the beginning of your upkeep, this creature deals 1 damage to you.",Zendikar Rising Tokens (TZNR),https://scryfall.com/card/tznr/11/goblin-construct
Copy,Token,-,-,Zendikar Rising Tokens (TZNR),https://scryfall.com/card/tznr/12/copy
Bird,Token Creature | Bird,1/1,Flying,Zendikar Rising Commander Tokens (TZNC),https://scryfall.com/card/tznc/1/bird
Kor Ally,Token Creature | Kor Ally,1/1,-,Zendikar Rising Commander Tokens (TZNC),https://scryfall.com/card/tznc/2/kor-ally
Faerie Rogue,Token Creature | Faerie Rogue,1/1,Flying,Zendikar Rising Commander Tokens (TZNC),https://scryfall.com/card/tznc/3/faerie-rogue
Germ,Token Creature | Germ,0/0,-,Zendikar Rising Commander Tokens (TZNC),https://scryfall.com/card/tznc/4/germ
Goblin Rogue,Token Creature | Goblin Rogue,1/1,-,Zendikar Rising Commander Tokens (TZNC),https://scryfall.com/card/tznc/5/goblin-rogue
Rat,Token Creature | Rat,1/1,-,Zendikar Rising Commander Tokens (TZNC),https://scryfall.com/card/tznc/6/rat
Beast,Token Creature | Beast,4/4,-,Zendikar Rising Commander Tokens (TZNC),https://scryfall.com/card/tznc/7/beast
Elemental,Token Creature | Elemental,2/2,-,Zendikar Rising Commander Tokens (TZNC),https://scryfall.com/card/tznc/8/elemental
Saproling,Token Creature | Saproling,1/1,-,Zendikar Rising Commander Tokens (TZNC),https://scryfall.com/card/tznc/9/saproling
Elemental,Token Creature | Elemental,5/5,-,Zendikar Rising Commander Tokens (TZNC),https://scryfall.com/card/tznc/10/elemental
Thopter,Token Artifact Creature | Thopter,1/1,Flying,Zendikar Rising Commander Tokens (TZNC),https://scryfall.com/card/tznc/11/thopter
The Gitrog Monster,Legendary Creature | Frog Horror,6/6,"Deathtouch At the beginning of your upkeep, sacrifice The Gitrog Monster unless you sacrifice a land. You may play an additional land on each of your turns. Whenever one or more land cards are put into your graveyard from anywhere, draw a card.",Judge Gift Cards 2021 (J21),https://scryfall.com/card/j21/5/the-gitrog-monster
Grand Arbiter Augustin IV,Legendary Creature | Human Advisor,2/3,White spells you cast cost   less to cast. Blue spells you cast cost   less to cast. Spells your opponents cast cost   more to cast.,Judge Gift Cards 2021 (J21),https://scryfall.com/card/j21/6/grand-arbiter-augustin-iv
Karlov of the Ghost Council,Legendary Creature | Spirit Advisor,2/2,"Whenever you gain life, put two +1/+1 counters on Karlov of the Ghost Council. , Remove six +1/+1 counters from Karlov of the Ghost Council: Exile target creature.",Judge Gift Cards 2021 (J21),https://scryfall.com/card/j21/7/karlov-of-the-ghost-council
"Nicol Bolas, the Ravager",Legendary Creature | Elder Dragon,4/4,"Flying When Nicol Bolas, the Ravager enters the battlefield, each opponent discards a card. : Exile Nicol Bolas, the Ravager, then return him to the battlefield transformed under his owner’s control. Activate only as a sorcery. +2: Draw two cards. −3: Nicol Bolas, the Arisen deals 10 damage to target creature or planeswalker. −4: Put target creature or planeswalker card from a graveyard onto the battlefield under your control. −12: Exile all but the bottom card of target player’s library.",Judge Gift Cards 2021 (J21),https://scryfall.com/card/j21/9/nicol-bolas-the-ravager-nicol-bolas-the-arisen
Flumph,Creature | Jellyfish,0/4,"Defender, flying Whenever Flumph is dealt damage, you and target opponent each draw a card.",Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/15/flumph
Portable Hole,Artifact,-,"When Portable Hole enters the battlefield, exile target nonland permanent an opponent controls with mana value 2 or less until Portable Hole leaves the battlefield.",Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/33/portable-hole
Tasha's Hideous Laughter,Sorcery,-,Each opponent exiles cards from the top of their library until that player has exiled cards with total mana value 20 or more.,Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/78/tashas-hideous-laughter
"Lolth, Spider Queen",Legendary Planeswalker | Lolth,Loyalty: 4,"Whenever a creature you control dies, put a loyalty counter on Lolth, Spider Queen. 0: You draw a card and you lose 1 life. −3: Create two 2/1 black Spider creature tokens with menace and reach. −8: You get an emblem with “Whenever an opponent is dealt combat damage by one or more creatures you control, if that player lost less than 8 life this turn, they lose life equal to the difference.”",Adventures in the Forgotten Realms (AFR),https://scryfall.com/card/afr/112/lolth-spider-queen
